gid,UF,nome,PIB,PIB_percapita,classe
215,BAHIA,Tremedal,57883.99219,3140.23999,1
306,RIO GRANDE DO SUL,Turuçu,45723.875,11430.96973,2
900,ESPIRITO SANTO,Vitória,19782628,61790.58984,4
3613,MINAS GERAIS,Jacutinga,247816,11567.20996,2
1028,PIAUÍ,Nazária,20951.38086,2653.75,1
3403,MINAS GERAIS,Pedra Azul,187523.6719,7212.450195,1
1029,PIAUÍ,Teresina,8700461,10841.2002,2
5153,PIAUÍ,Amarante,65322.88672,3650.949951,1
1048,GOIÁS,Matrinchã,45910.54688,10387,2
2629,PERNAMBUCO,Cachoeirinha,80433.80469,4438.220215,1
2141,PARÁ,Afuá,100038.4063,3065.560059,1
2845,PERNAMBUCO,Fernando de Noronha,26980.71484,8681.049805,1
628,RIO GRANDE DO SUL,Frederico Westphalen,490769.5313,17263.59961,2
1199,SERGIPE,Amparo de São Francisco,12769.7334,5630.390137,1
4548,SÃO PAULO,Itapeva,1120700,12484.40039,2
2248,PARAÍBA,Bayeux,604882.125,6287.890137,1
5554,TOCANTINS,Ananás,59541.40625,6258.290039,1
3034,MINAS GERAIS,Santo Antônio do Retiro,25568.89063,3607.860107,1
2458,PARAÍBA,Serra Branca,62123.33594,4847.330078,1
1008,AMAZONAS,Envira,69843.03125,3965.199951,1
5357,TOCANTINS,Oliveira de Fátima,11591.94922,10267.4502,2
4293,SÃO PAULO,Elisiário,52295.23438,15765.82031,2
5437,SANTA CATARINA,Otacílio Costa,364577.8125,21979.73047,2
3243,MINAS GERAIS,Sericita,39047.07031,5316.140137,1
3352,MINAS GERAIS,Diamantina,287632.0313,6202.709961,1
4559,BAHIA,Maetinga,23558.44727,2988.129883,1
4890,CEARÁ,Iracema,62552.02344,4138.680176,1
1529,RORAIMA,São João da Baliza,59372.45313,9849.450195,2
647,RIO GRANDE DO SUL,Paulo Bento,37882.76953,17628.08984,2
3595,PERNAMBUCO,Alagoinha,57886.21484,3881.590088,1
1146,PIAUÍ,Inhuma,62012.02344,4003.360107,1
1654,MARANHÃO,Joselândia,60842.48047,3758.48999,1
1999,RIO DE JANEIRO,Itaguaí,3008327.25,28479.05078,3
3202,MINAS GERAIS,Cedro do Abaeté,10221.85645,8371.709961,1
444,RIO GRANDE DO SUL,Cacequi,174171.7031,12827.49023,2
3644,PERNAMBUCO,Barra de Guabiraba,46595.87109,3420.379883,1
4475,BAHIA,Ibirapuã,74997.40625,9501.759766,1
2251,PARAÍBA,Bernardino Batista,11964.66211,3609.25,1
2160,PARAÍBA,Lagoa,19203.71094,3880.320068,1
3988,MATO GROSSO,Novo Horizonte do Norte,32778.50781,8256.549805,1
2595,MINAS GERAIS,Nova Lima,2120726.75,27682.83984,3
2389,PARÁ,Tomé-Açu,226379.4688,4657.339844,1
4459,BAHIA,Governador Mangabeira,92903.82031,4495.060059,1
