Município;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out
110001 Alta Floresta D'Oeste;49;49;49;49;49;49;49;49;49;49
110037 Alto Alegre dos Parecis;16;16;16;16;16;17;17;17;17;17
110040 Alto Paraíso;16;16;16;16;16;16;16;16;16;16
110034 Alvorada D'Oeste;35;35;35;35;35;35;35;35;35;35
110002 Ariquemes;240;240;251;266;260;256;256;256;256;256
110045 Buritis;66;66;66;66;66;66;66;66;66;66
110003 Cabixi;9;9;9;9;9;9;9;9;9;9
110060 Cacaulândia;26;26;26;26;26;26;26;26;26;26
110004 Cacoal;360;360;360;360;360;360;360;360;360;360
110070 Campo Novo de Rondônia;19;19;19;19;19;19;19;19;19;19
110080 Candeias do Jamari;15;15;15;15;15;15;15;15;15;15
110090 Castanheiras;7;7;7;7;7;7;7;7;7;7
110005 Cerejeiras;40;40;40;40;40;40;40;40;40;40
110092 Chupinguaia;10;10;10;10;10;10;10;10;10;10
110006 Colorado do Oeste;50;50;50;50;50;50;50;50;50;50
110007 Corumbiara;16;16;16;16;16;16;16;16;16;16
110008 Costa Marques;45;45;45;45;45;45;45;45;45;45
110094 Cujubim;11;11;11;11;11;11;11;11;11;11
110009 Espigão D'Oeste;54;54;54;54;54;54;54;54;54;54
110100 Governador Jorge Teixeira;22;22;22;22;22;22;22;22;22;22
110010 Guajará-Mirim;97;97;97;97;97;114;114;114;114;114
110110 Itapuã do Oeste;20;20;20;20;20;20;20;20;20;20
110011 Jaru;115;115;115;115;121;112;114;114;114;114
110012 Ji-Paraná;259;259;257;257;257;257;288;288;288;288
110013 Machadinho D'Oeste;48;48;48;48;48;48;48;48;48;48
110120 Ministro Andreazza;16;16;16;16;16;16;16;16;16;16
110130 Mirante da Serra;25;25;25;33;33;33;33;33;33;33
110140 Monte Negro;40;40;40;40;40;40;40;40;24;24
110014 Nova Brasilândia D'Oeste;44;44;44;44;44;44;44;44;44;44
110033 Nova Mamoré;20;20;20;31;31;31;31;31;31;31
110143 Nova União;15;15;15;15;15;15;15;15;15;15
110050 Novo Horizonte do Oeste;18;18;18;18;18;23;23;23;23;23
110015 Ouro Preto do Oeste;87;117;117;123;123;132;132;132;132;132
110145 Parecis;8;8;8;8;8;8;8;8;8;8
110018 Pimenta Bueno;58;58;58;58;58;58;58;58;58;58
110146 Pimenteiras do Oeste;9;9;9;9;9;9;9;9;9;9
110020 Porto Velho;1704;1701;1726;1691;1700;1758;1800;1825;1852;1868
110025 Presidente Médici;45;45;45;45;45;45;45;45;45;48
110026 Rio Crespo;9;9;9;9;9;9;9;9;9;9
110028 Rolim de Moura;94;94;94;94;94;94;94;94;94;94
110029 Santa Luzia D'Oeste;25;25;25;25;25;25;25;25;25;25
110148 São Felipe D'Oeste;7;7;7;7;7;7;7;7;7;7
110149 São Francisco do Guaporé;29;29;29;29;29;29;29;29;28;28
110032 São Miguel do Guaporé;44;44;44;44;44;44;44;44;44;44
110150 Seringueiras;36;36;36;36;36;36;36;36;36;36
110155 Teixeirópolis;9;9;9;9;9;9;9;9;9;9
110160 Theobroma;13;13;13;13;13;13;13;13;13;13
110170 Urupá;25;25;25;25;25;25;25;25;25;25
110175 Vale do Anari;12;12;12;12;12;12;12;12;12;12
110180 Vale do Paraíso;16;16;16;16;16;16;16;16;16;16
110030 Vilhena;206;206;206;226;226;226;232;232;232;232
120001 Acrelândia;16;16;16;16;16;16;16;16;16;16
120005 Assis Brasil;12;12;12;12;12;12;12;12;12;12
120010 Brasiléia;40;40;40;40;41;41;41;41;41;41
120020 Cruzeiro do Sul;175;175;175;183;183;183;221;256;240;240
120030 Feijó;41;41;41;41;41;41;41;41;41;41
120032 Jordão;10;10;10;10;10;10;10;10;10;10
120033 Mâncio Lima;25;25;25;25;25;25;25;25;25;25
120034 Manoel Urbano;26;26;26;26;26;26;26;26;26;23
120035 Marechal Thaumaturgo;13;13;13;13;13;13;13;13;13;13
120038 Plácido de Castro;52;52;52;52;52;52;52;52;52;52
120039 Porto Walter;14;14;14;14;14;14;14;14;14;14
120040 Rio Branco;877;877;891;891;933;933;933;989;989;933
120042 Rodrigues Alves;16;16;16;16;16;16;16;16;16;16
120043 Santa Rosa do Purus;16;16;16;16;16;16;16;16;16;16
120050 Sena Madureira;50;50;50;50;60;60;65;65;65;65
120045 Senador Guiomard;29;29;29;29;29;29;29;29;29;29
120060 Tarauacá;42;42;42;42;42;42;42;42;42;42
120070 Xapuri;30;30;30;30;30;30;30;30;30;30
130002 Alvarães;22;22;22;22;22;22;22;34;34;34
130006 Amaturá;30;30;30;30;30;30;30;30;30;30
130008 Anamã;20;20;20;20;20;20;20;20;20;20
130010 Anori;23;23;23;23;23;23;23;23;23;23
130014 Apuí;42;42;42;42;42;42;38;38;38;38
130020 Atalaia do Norte;30;30;30;30;30;41;41;32;32;32
130030 Autazes;31;31;31;31;31;31;31;31;31;31
130040 Barcelos;30;30;30;30;60;60;55;30;30;30
130050 Barreirinha;31;31;31;31;31;31;31;31;31;31
